,name,z_cmb,m_b,dm_b
333,16032,0.20314,20.64385,0.12035
334,16073,0.15352,20.1226,0.10495
335,16093,0.33398,21.9349,0.1592
336,16099,0.19582,20.5286,0.1151
337,16106,0.24943,21.0769,0.14445
338,16116,0.1549,20.0251,0.1063
339,16165,0.15625,19.98785,0.12595
340,16206,0.15819,19.81685,0.12375
341,16211,0.309,21.8114,0.19685
342,16213,0.24828,21.1261,0.1388
343,16281,0.18484,20.31575,0.1235
344,17168,0.18353,20.5074,0.1247
345,17215,0.18212,20.37965,0.13765
346,17218,0.17675,20.28545,0.129
347,17220,0.17748,20.0718,0.12115
348,17240,0.0718,18.0121,0.1254
349,17366,0.13796,19.66285,0.10475
350,17389,0.16941,20.46515,0.1317
351,17464,0.24527,20.7198,0.14705
352,17497,0.14406,19.81665,0.10485
353,17552,0.25163,21.2338,0.1462
354,17784,0.03743,16.7708,0.1166
355,17791,0.27716,21.8807,0.2055
356,17809,0.28712,21.2668,0.1491
357,17811,0.19845,20.61015,0.13895
358,17825,0.16031,20.07605,0.129
359,17875,0.21053,21.0136,0.15075
360,17884,0.23753,21.0147,0.1316
361,18030,0.15499,20.14265,0.11795
362,18241,0.0939,18.94955,0.14945
363,18323,0.15253,20.08555,0.11355
364,18325,0.25693,21.2741,0.1446
365,18466,0.21231,20.80065,0.1303
366,18486,0.24583,20.88445,0.13085
367,18602,0.13679,19.76485,0.11075
368,18617,0.32529,21.9051,0.1809
369,18697,0.10643,19.09035,0.10245
370,18721,0.4008,22.30585,0.1602
371,18749,0.1891,20.4864,0.13035
372,18804,0.19731,20.4352,0.1122
373,18809,0.12783,19.5616,0.132
374,18835,0.12291,19.44025,0.1033
375,18855,0.12687,19.59325,0.10365
376,18927,0.21311,20.67635,0.1429
377,18940,0.21075,20.727,0.12695
378,18945,0.26826,21.4883,0.15275
379,18965,0.20431,20.66435,0.12435
380,19002,0.26991,21.2859,0.12695
381,19023,0.24162,20.98075,0.15175
382,19027,0.2908,21.236,0.14645
383,19067,0.35306,21.81675,0.1515
384,19128,0.28509,21.60225,0.15435
385,19230,0.21929,20.6719,0.1534
386,19282,0.17537,20.24765,0.1249
387,19341,0.23517,20.9929,0.1458
388,19353,0.15298,19.99965,0.1096
389,19425,0.20982,20.90475,0.1584
390,19596,0.29121,21.51945,0.1501
391,19632,0.31353,21.8225,0.14945
392,19775,0.13672,19.7402,0.1138
393,19794,0.29532,21.7708,0.1925
394,19818,0.30369,21.49625,0.135
395,19913,0.20532,20.73155,0.1351
396,19953,0.12175,19.34125,0.09805
397,19969,0.17424,20.2369,0.11045
398,19990,0.24862,21.2028,0.13995
399,20039,0.2453,21.1159,0.14105
400,20084,0.13816,19.8495,0.1169
401,20088,0.24288,21.02795,0.1175
402,20111,0.24237,21.18455,0.15195
403,20142,0.31437,21.3618,0.137
404,20227,0.2754,21.4485,0.153
405,20245,0.30004,21.4204,0.15885
406,20364,0.21735,20.89395,0.15665
407,20581,0.20311,20.5734,0.12555
408,20687,0.19005,20.4061,0.1552
