,z,dl_planck,erro_planck
411,0.31032,1506.4336216226254,0.40974501729829044
412,0.13712,813.8230757436451,0.30889179022515123
413,0.08798,418.7164275971583,0.29150727277304617
414,0.08534,407.91530465185616,0.28943494618935156
415,0.19024,1036.8597121159087,0.3183323891064268
416,0.09278,454.48546655679394,0.29703347699623195
417,0.12891,636.7515341509696,0.3406674645084691
418,0.26136,1316.3155143330202,0.41066605133548806
419,0.26132,1503.7650954249293,0.45786904574186604
420,0.1957,1021.9508283125631,0.34366082512936136
421,0.14723,714.4140713810943,0.3265065661865557
422,0.21154,1303.07676198946,0.46466167176619844
423,0.17972,883.7918655832132,0.3068194636414566
424,0.1907,1058.1810990194897,0.32063497419942083
425,0.3385,1753.6382110330997,0.41860996990631755
426,0.11762,588.6403110804831,0.2900105924626001
427,0.28854,1555.6073985229086,0.423445398601605
428,0.26377,1379.049959963658,0.4074424322052964
429,0.24931,1453.2154283877776,0.37048594146274194
430,0.22939,1153.1345909353447,0.3387102671794241
431,0.08575,405.1352202292631,0.27711611594183344
432,0.27631,1625.8856574477588,0.4848092913298963
433,0.36165,2093.5339111286125,0.4248269496574015
434,0.30006,1625.8107843702362,0.426553888477147
435,0.11659,579.3353110815335,0.2845995174940641
436,0.15474,711.5574990357048,0.2866718440777587
437,0.2501,1398.4276424802918,0.3505685804083435
438,0.25149,1342.1467373834853,0.3375589746329271
439,0.12941,624.3383323163232,0.2935795993567409
440,0.30894,1701.257293149675,0.4358793581037729
441,0.29859,1657.3338475599712,0.4220638475458086
442,0.27057,1426.855520941287,0.43518858257587467
443,0.29318,1592.0254277989307,0.3769331797231253
444,0.18988,952.8181032186741,0.3189080353796753
445,0.12368,584.0634103873548,0.2813758983638724
446,0.31262,1629.9339282489982,0.37520624090337973
447,0.3088,1791.4718980959908,0.4035280375472065
448,0.20244,1015.14948819311,0.3630025399105113
449,0.21139,1025.5102369890196,0.33986155972592114
450,0.1787,925.7633851208233,0.311309504572795
451,0.30317,1821.3776371047784,0.3630025399105113
452,0.21432,1122.8972028427,0.3472298320235021
453,0.32007,1679.2679529073084,0.35874275748847234
454,0.21791,1181.2994452105158,0.3735944313382839
455,0.07523,351.3662147206997,0.2805699935813245
456,0.2574,1446.205470539114,0.39143946580898775
457,0.18446,909.7875721512836,0.34688444425955295
458,0.11639,555.840260111651,0.2805699935813245
459,0.06481,289.2743990245144,0.3014083886729206
460,0.10298,522.5044577681143,0.28321796643826763
461,0.04437,186.5649259134721,0.3222467837645167
462,0.16576,746.2769020181443,0.3259309199133072
463,0.16799,787.8798616924347,0.32673682469585513
464,0.17043,814.2354374937685,0.37428520686618216
465,0.12029,616.609199649538,0.30612868811355837
466,0.13855,691.8150411055312,0.3472298320235021
467,0.23353,1175.2492967888677,0.39765644556007174
468,0.24615,1231.572548488814,0.3832652887288589
469,0.22259,1264.9693419749021,0.40203135723676037
470,0.17893,875.3465008183714,0.32811837575165154
471,0.19694,1005.4488923260335,0.31476338221228606
472,0.22889,1215.8779987609516,0.3765877919591762
473,0.26419,1502.1385785708571,0.4294321198433896
474,0.1034,508.6159788558932,0.2779220207243813
475,0.21313,1077.3827059250866,0.32984531457139704
476,0.1568,749.5489497919569,0.30025709612642354
477,0.24317,1367.0046756045576,0.40237674500070947
478,0.23823,1366.532610443803,0.3761272749405774
479,0.20827,1062.6493967141616,0.34976267562579555
480,0.25085,1469.8736347727965,0.42805056878759307
481,0.2251,1143.4047709202234,0.34435160065725956
482,0.28707,1502.4844985847074,0.37520624090337973
483,0.32944,1646.9105059396243,0.37520624090337973
484,0.24575,1293.0043917962796,0.32811837575165154
485,0.11981,655.1941332454215,0.3730187850650354
486,0.32891,2128.286057697549,0.5285584080967832
487,0.21037,1003.0209403430923,0.32305268854706465
488,0.20284,1078.8970360411313,0.31407260668438786
489,0.28403,1398.4276424802918,0.36000917928961906
490,0.18046,819.4264909552818,0.2893198169347018
491,0.26043,1407.829301370554,0.39627489450427533
492,0.14774,714.595044209928,0.2816061568731718
493,0.32753,1766.1598184705613,0.36507486649420595
494,0.24177,1429.0255705691013,0.40732730295064673
495,0.22308,1180.7283743667465,0.3410128522724182
496,0.18261,1005.4720439088844,0.3628874106558616
497,0.15286,769.9809846056468,0.2819515446371209
498,0.13806,670.8879631843296,0.2819515446371209
499,0.2071,1241.6237178206209,0.4737568828835249
500,0.20291,1033.5464509188987,0.32443423960286105
501,0.19777,964.2951889721709,0.34308517885611284
502,0.2223,1183.3684873524317,0.36657154680465204
503,0.27307,1403.6214615118836,0.3800416695986673
504,0.18628,979.5576485168488,0.30820101469725303
505,0.15933,713.8878655251865,0.2887441706614533
506,0.21911,1156.3252255531634,0.33640768208643007
507,0.17354,959.9309624204419,0.34147336929101696
508,0.2441,1196.8783190841687,0.37969628183471815
509,0.13366,637.9549330382705,0.2786127962522796
510,0.28313,1495.6156468043614,0.3590881452524214
511,0.17365,894.7052794032805,0.3621966351279634
512,0.1963,1065.5896657672401,0.3612756010907658
513,0.36924,2180.26859914772,0.37589701643127793
514,0.20562,998.0676978261608,0.32454936885751073
515,0.17371,875.8505358283901,0.33767410388757685
516,0.12672,618.3010727517145,0.29864528656132777
517,0.284,1516.351900787286,0.39477821419382914
518,0.19358,1011.9522025619407,0.35943353301637054
519,0.10036,475.7841827507451,0.3026748104740673
520,0.37386,2223.002750255724,0.24269246880157244
521,0.11787,570.6502344095937,0.3077404976786542
522,0.1919,982.4263447582707,0.36933464891624496
523,0.23657,1227.071869317565,0.3822291254370116
524,0.15881,767.7679874709727,0.3327235459376396
525,0.07877,434.0302510162328,0.30405636152986376
526,0.13847,768.9002462637858,0.35310142401063693
527,0.23359,1155.9791475130585,0.39995903065306576
528,0.1567,777.9469814277347,0.4026070035100089
529,0.08833,382.102606303249,0.31349696041113934
530,0.12995,700.2772216295102,0.3261611784226066
531,0.18223,897.8008247017949,0.33675306985037917
532,0.25654,1300.0797686025733,0.3869494248776494
533,0.21651,1118.0468439220137,0.3597789207803197
534,0.14519,737.4456191369403,0.3681833563697479
535,0.13653,635.7553155515253,0.300487354635723
536,0.20493,1182.496870383107,0.40709704444134726
537,0.36939,1974.649410902888,0.40479445934835323
538,0.12924,643.2947394990947,0.29645783072298343
539,0.26658,1420.5286590397213,0.38602839084045176
540,0.27805,1456.531897656217,0.36645641755000236
541,0.17461,970.7781661108077,0.34930215860719677
542,0.11376,514.5410163255355,0.2918526605369953
543,0.11229,578.3490146519548,0.28229693240107
544,0.15333,715.286453158367,0.28701723184170785
545,0.1965,1080.3886174910865,0.36484460798490653
546,0.18914,1156.2453521951134,0.3427397910921637
