,z,dl_ries,erro_ries
830,0.18542,898.2971048873512,0.36127560109076584
831,0.34931,1785.8706504484533,0.4099752758075899
832,0.27131,1282.005829503975,0.3404372059991697
833,0.29212,1205.2301848711304,0.37440033612083184
834,0.37051,1602.8024588137187,0.35402245804783455
835,0.09641,407.6617833479456,0.43277086822823096
836,0.18058,796.2326827804247,0.34930215860719677
837,0.27446,1320.32242617186,0.44324763040135384
838,0.2451,1252.5065335781753,0.42390591562020385
839,0.36135,1689.0402539834522,0.5609097286533496
840,0.23152,1072.4325820386757,0.43726090915956933
841,0.14648,673.302148036089,0.3475752197874512
842,0.15948,763.853371749069,0.500812257726205
843,0.41929,2176.0055564376134,0.43530371183052435
844,0.31894,1510.7409454286976,0.45280335853727915
845,0.51941,2761.7858488738966,0.5435252112012445
846,0.15069,681.5535747267056,0.34538776394910686
847,0.30249,1474.6875033173471,0.45648749468606964
848,0.21073,985.6665082352474,0.4658129643126955
849,0.23943,976.7647990930942,0.4324254804642818
850,0.3318,1576.231491435167,0.368528744133697
851,0.20072,979.4223269743909,0.46212882816390505
852,0.36082,1898.5410856964065,0.4194158746888655
853,0.24275,1300.6486664534216,0.3714069754999396
854,0.22146,1024.1180013919225,0.43553397033982383
855,0.12068,524.5175210499931,0.533278707537421
856,0.3416,1671.898853655033,0.48181593070900414
857,0.25051,1125.5375799598455,0.395238731212428
858,0.38054,1891.0368853644861,0.3930512753740837
859,0.31079,1619.8320960017368,0.4108963098447875
860,0.1994,842.0928890050922,0.4178040651237696
861,0.24001,1160.5931420818476,0.4704181344986836
862,0.50275,2661.7667764660887,0.5723075248636702
863,0.37013,1845.3128244969012,0.4047944593483533
864,0.27001,1316.7095940137349,0.40813320773319467
865,0.26312,1331.0672559803718,0.3944328264298801
866,0.26801,1232.9628749604883,0.4769805020137166
867,0.30801,1723.2567964175182,0.36426896171165807
868,0.25001,1322.3913506873787,0.4662734813312943
869,0.28051,1323.5489261148057,0.3466541857502536
870,0.3148,1685.8541524941722,0.37958115258006847
871,0.3284,1873.1821041341054,0.47375688288352497
